Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
eren,NFAPPL-02-IPHONE12=1-1E455AF4890338FE88BC20186F2C7F315BD52CAF5E62F8919E9FE2895FFE67DD,Apple iPhone 11,2023-06-06T10:23:41.438,2023-12-06T04:04:40.340,2023-06-13T11:08:26.224,2023-12-06T04:04:40.340,2023-06-06T10:23:41.438,2023-12-06T04:04:40.340,2023-06-13T11:08:26.224,2023-12-06T04:04:40.340,
nergiz,NFCDCH-02-KP34YGWP2C1H201RKHPCU8D1L7916G,Chrome PC (Cadmium),2023-11-25T06:30:22.771,2023-11-25T19:55:28.552,2023-11-25T06:30:22.771,2023-11-25T19:55:28.552,2023-11-25T06:30:22.771,2023-11-25T19:55:28.552,2023-11-25T06:30:22.771,2023-11-25T19:55:28.552,
nergiz,NFAPPL-02-IPHONE12=8-0C7A25590B76F4D5A93B61AD9C5A70F7039A5343E8B1639CCEEDFC8D2DB5C8FA,Apple iPhone SE Gen 2 iPhone,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,
eren,NFAPPL-01-IPAD5=3-0DDB908CEF28654CB6B03CCD4ADCB621CB1F8602F11A91F5302FFD8025B97A82,iPad Air 2 WiFi,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2022-07-02T13:32:06.361,2023-10-30T17:15:51.708,2022-07-02T13:32:06.361,2023-10-30T17:15:51.708,
nergiz,NFCDCH-02-KFJEL7PDT29JP9LAP89CLJV81NF98U,Chrome PC (Cadmium),2023-10-27T14:08:28.108,2023-10-27T20:57:42.335,2023-10-27T14:10:16.249,2023-10-27T19:03:01.632,2023-10-27T14:08:28.108,2023-10-27T20:57:42.335,2023-10-27T14:10:16.249,2023-10-27T19:03:01.632,
nergiz,NFCDCH-02-KL255QEJQ2649JCDRRQFME5WAQX039,Chrome PC (Cadmium),2023-10-19T11:37:37.336,2023-10-19T11:39:16.540,2023-10-19T11:38:27.244,2023-10-19T11:38:27.244,2023-10-19T11:37:37.336,2023-10-19T11:39:16.540,2023-10-19T11:38:27.244,2023-10-19T11:38:27.244,
nergiz,NFCDCH-02-KKWWJRAD7Y8J5AQW85YX3R2G00MW3D,Chrome PC (Cadmium),2023-10-17T11:39:35.236,2023-10-17T11:43:11.080,2023-10-17T11:40:35.230,2023-10-17T11:43:11.080,2023-10-17T11:39:35.236,2023-10-17T11:43:11.080,2023-10-17T11:40:35.230,2023-10-17T11:43:11.080,
eren,NFCDCH-02-KKWWJRAD7Y8J5AQW85YX3R2G00MW3D,Chrome PC (Cadmium),2023-10-17T11:39:35.236,2023-10-17T11:43:11.080,2023-10-17T11:40:35.230,2023-10-17T11:43:11.080,2023-10-17T11:40:02.212,2023-10-17T11:40:02.212,,,
nergiz,NFCDCH-02-KKU1CRFKE8D735WVRRVKWC5H6WPGE8,Chrome PC (Cadmium),2023-10-16T09:43:19.217,2023-10-16T11:43:52.796,2023-10-16T09:45:06.696,2023-10-16T11:43:52.796,2023-10-16T09:43:19.217,2023-10-16T11:43:52.796,2023-10-16T09:45:06.696,2023-10-16T11:43:52.796,
nergiz,NFCDCH-02-KKDV1YD1E2861YVAGVTHGF3V74Y49C,Chrome PC (Cadmium),2023-10-11T09:35:58.736,2023-10-11T11:26:47.756,2023-10-11T09:35:58.736,2023-10-11T11:26:47.756,2023-10-11T09:35:58.736,2023-10-11T11:26:47.756,2023-10-11T09:35:58.736,2023-10-11T11:26:47.756,
eren,NFUWA-001-3B354A89C7FE6AA8DAD9C66A807007C75D8DE777E36A2B4642EFB909696EF068,Netflix Windows App - Cadmium Windows Mobile,2021-09-15T22:36:11.912,2023-10-08T13:32:16.383,2021-12-11T18:26:50.896,2023-10-08T13:32:16.383,2021-09-15T22:36:11.912,2023-10-08T13:32:16.383,2023-10-08T13:32:16.383,2023-10-08T13:32:16.383,
mehmet,NFAPPL-01-IPAD12=1-4019A454BF0E931BEEB268A33790645955FC7A6A9DFA55085FE948334333D141,Apple iPad 10.2 inch 9th Gen Wi-Fi,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-25T17:47:16.124,2023-10-03T18:18:48.784,2023-09-25T17:47:16.124,2023-10-03T18:18:48.784,
nergiz,NFAPPL-01-IPAD12=1-4019A454BF0E931BEEB268A33790645955FC7A6A9DFA55085FE948334333D141,Apple iPad 10.2 inch 9th Gen Wi-Fi,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-09-28T20:11:09.187,2023-09-21T19:14:55.636,2023-09-28T20:11:09.187,
nergiz,NFCDCH-02-KHULUK1MKNEFQKTGEA07K0Q8219D5L,Chrome PC (Cadmium),2023-09-22T08:26:05.420,2023-09-22T09:31:02.463,2023-09-22T08:26:05.420,2023-09-22T09:30:56.416,2023-09-22T08:26:05.420,2023-09-22T09:31:02.463,2023-09-22T08:26:05.420,2023-09-22T09:30:56.416,
nergiz,NFCDCH-02-KHQYC1Q30RMJY77L78D9ULND9FE0EP,Chrome PC (Cadmium),2023-09-21T08:06:52.784,2023-09-21T09:15:38.780,2023-09-21T08:07:04.769,2023-09-21T09:15:38.780,2023-09-21T08:06:52.784,2023-09-21T09:15:38.780,2023-09-21T08:07:04.769,2023-09-21T09:15:38.780,
nergiz,NFAPPL-01-IPAD12=1-28A576F492E06E8D0B24ABE5A704EAA2E987481C4AF2DD0E809FE30583876222,Apple iPad 10.2 inch 9th Gen Wi-Fi,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,
nergiz,NFCDCH-02-KHNGWN3NFA5QFHR20XHY93DGKKGG1D,Chrome PC (Cadmium),2023-09-20T09:48:33.792,2023-09-20T10:38:05.683,2023-09-20T09:48:33.792,2023-09-20T10:38:05.683,2023-09-20T09:48:33.792,2023-09-20T10:38:05.683,2023-09-20T09:48:33.792,2023-09-20T10:38:05.683,
