Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Onur ps5,The Knight Before Christmas (Trailer),Chrome PC (Cadmium),2023-11-24 20:29:35,TR,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1019,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2589,""mediaOffsetMs"":1501}]"
Onur ps5,Teaser: Metal Lords,Chrome PC (Cadmium),2023-11-24 20:29:32,TR,"[{""eventType"":""start"",""sessionOffsetMs"":23,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":834,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":998,""mediaOffsetMs"":107},{""eventType"":""stopped"",""sessionOffsetMs"":1196,""mediaOffsetMs"":115}]"
Onur ps5,13 Going on 30_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:29:13,TR,"[{""eventType"":""start"",""sessionOffsetMs"":17,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":596,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2994,""mediaOffsetMs"":2331},{""eventType"":""stopped"",""sessionOffsetMs"":3227,""mediaOffsetMs"":2348}]"
Onur ps5,Supporting Character Clip: The Out-Laws,Chrome PC (Cadmium),2023-11-24 20:29:11,TR,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":512,""mediaOffsetMs"":0}]"
Onur ps5,Teaser 1: Love Hard,Chrome PC (Cadmium),2023-11-24 20:29:08,TR,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":761,""mediaOffsetMs"":0}]"
Onur ps5,13 Going on 30_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:29:04,TR,"[{""eventType"":""start"",""sessionOffsetMs"":9,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":576,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3164,""mediaOffsetMs"":2330}]"
Onur ps5,13 Going on 30_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:28:59,TR,"[{""eventType"":""start"",""sessionOffsetMs"":19,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":799,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1765,""mediaOffsetMs"":876}]"
Onur ps5,Inciting Incident Clip: Senior Year,Chrome PC (Cadmium),2023-11-24 20:28:56,TR,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":773,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2169,""mediaOffsetMs"":1260}]"
Onur ps5,Clip 1: L'incredibile storia dell'Isola delle Rose,Chrome PC (Cadmium),2023-11-24 20:28:52,TR,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":650,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1420,""mediaOffsetMs"":673}]"
Onur ps5,Moment of High Emotion Clip 3: Best. Christmas. Ever!,Chrome PC (Cadmium),2023-11-24 20:28:43,TR,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":834,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1049,""mediaOffsetMs"":135}]"
