Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-04-10,2021-04-10,2021-05-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-05-10
2021-04-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-03-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-03-10,2021-03-10,2021-04-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-04-10
2021-02-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-02-10,2021-02-10,2021-03-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-03-10
2021-01-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-01-10,2021-01-10,2021-02-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-02-10
2020-12-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-12-10,2020-12-10,2021-01-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-01-10
2020-11-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-11-10,2020-11-10,2020-12-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-12-10
2020-10-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-10-10,2020-10-10,2020-11-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-11-10
2020-09-10,2020-09-10,2020-10-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-10-10
2020-09-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-08-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-08-10,2020-08-10,2020-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,DECLINED,SETTLED,TR,2020-09-10
2020-08-10,2020-08-10,2020-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-09-10
2020-08-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,DECLINED,,TR,
